Conference,"City, Country",Deadline,Date,Website,Description
ICTCS 2024,"Torino, Italy",9 June 2024,11-13 September 2024,https://ictcs2024.di.unito.it/,Italian Conference on Theoretical Computer Science
TAP 2024,"Milan, Italy",12/14 June 2024,9–10 September 2024,https://tapconference.github.io/2024/,Tests and Proofs
ICTAC 2024,"Bangkok, Thailand",14/21 June 2024,25-29 November 2024,https://ictac2024.cs.ait.ac.th/,International Colloquium on Theoretical Aspects of Computing
MLCS 2024,"Vilnius, Lithuania",15 June 2024,9-13 September 2024,https://mlcs.lasige.di.fc.ul.pt/,Machine Learning for Cybersecurity
WISE 2024,"Doha, Qatar",20/30 June 2024,2-5 December 2024,https://wise2024-qatar.com/,Web Information Systems Engineering
TIME 2024,"Montpellier, France",21 June 2024,28-30 October 2024,https://www.lirmm.fr/time2024/,Temporal Representation and Reasoning
LPNMR 2024,"Dallas, Texas, USA",21/28 June 2024,11-14 October 2024,https://lpnmr2024.demacs.unical.it/,Logic Programming and Non-Monotonic Reasoning
IPEC 2024,"Egham, United Kingdom",26/30 June 2024,4-6 September 2024,https://algo-conference.org/2024/ipec/,International Symposium on Parameterized and Exact Computation
ISAAC 2024,"Sydney, Australia",28 June 2024,8-12 December 2024,https://sites.google.com/view/isaac2024/,International Symposium on Algorithms and Computation
FedCSIS 2024,"Belgrade, Serbia",28 May 2024,8-11 September 2024,https://2024.fedcsis.org/,Federated Conference on Computer Science and Information Systems
ATMOS 2024,"Egham, United Kingdom",30 June 2024,5-6 September 2024,https://algo-conference.org/2024/atmos/,"Algorithmic Approaches for Transportation Modelling, Optimization, and Systems"
ALGOCLOUD 2024,"Egham, United Kingdom",1 July 2024,2-3 September 2024,https://algo-conference.org/2024/algocloud/,Algorithms for Cloud-Based Systems
ICTAI 2024,"Herndon, Virginia, USA",1 July 2024,28-30 October 2024,https://ictai.computer.org/2024/,International Conference on Tools with Artificial Intelligence
WAOA 2024,"Egham, United Kingdom",3 July 2024,5-6 September 2024,https://algo-conference.org/2024/waoa/,Workshop on Approximation and Online Algorithms
FSTTCS 2024,"Gandhinagar, Gujarat, India",5 July 2024,16-18 December 2024,https://www.fsttcs.org.in/2024/,Foundations of Software Technology and Theoretical Computer Science
SODA  2025,"New Orleans, Lousiana, USA",5 July 2024,12-15 January 2025,https://www.siam.org/conferences/cm/conference/soda25,Symposium on Discrete Algorithms
CSCML 2024,,6 or 7 July 2024,19-20 December 2024,https://www.cscml.org/,"Cyber Security, Cryptology and Machine Learning"
NMR 2024,"Hanoi, Vietnam",7/12 July 2024,2-4 November 2024,https://nmr.krportal.org/2024/,Non-Monotonic Reasoning
ICLP 2024,"Dallas, Texas, USA",8 July 2024,11-17 October 2024,https://www.iclp24.utdallas.edu/,International Conference on Logic Programming
POPL 2025,"Denver, Colorado, USA",11 July 2024,19-25 January 2025,https://conf.researchr.org/home/POPL-2025,Principles of Programming Languages
VSTTE 2024,"Prague, Czech Republic",18 July 2024,14-15 October 2024,https://www.soundandcomplete.org/vstte2024.html,"Verified Software: Theories, Tools, and Experiments"
CSL 2025,"Amsterdam, The Netherlands",18/23 July 2024,10-14 February 2025,https://csl2025.github.io/,Computer Science Logic
ICDCN 2025,"Hyderabad, India",25 July 2024,4-7 January 2025,https://cse.iith.ac.in/icdcn-2025/,International Conference on Distributed Computing and Networking
TERMGRAPH 2024,post-proceedings,1 August 2024,7 April 2024,http://termgraph.org.uk/2024/,Computing with Terms and Graphs
KDD,???,1/8 August 2024,,https://kdd2024.kdd.org/,Knowledge Discovery and Data Mining
WADT,post-proceedings,16 September 2024,,https://conf.researchr.org/home/wadt-2024,Workshop on Algebraic Development Techniques
WALCOM 2025,"Chengdu, China",22 September 2024,28 February - 2 March 2025,https://tcsuestc.com/walcom2025,International Conference and Workshops on Algorithms and Computation
ISCO 2024,"Tenerife, Canary Islands, Spain",,22-24 May 2024,https://eventos.ull.es/isco-2024,International Symposium on Combinatorial Optimization
EUROCRYPT  2024,"Zurich, Switzerland",,26-30 May 2024,https://eurocrypt.iacr.org/2024/,Theory and Applications of Cryptographic Techniques
LPAR 2024,Mauritius,,26-31 May 2024,https://easychair.org/smart-program/LPAR2024/,"Logic for Programming, Artificial Intelligence and Reasoning"
SIROCCO 2024,"Vietri sul Mare, Salerno, Italy",,27-29 May 2024,http://sirocco2024.di.unisa.it/,Structural Information and Communication Complexity
CPAIOR 2024,"Uppsala, Sweden",,28-31 May 2024,https://sites.google.com/view/cpaior2024,"Integration of Constraint Programming, Artificial Intelligence, and Operations Research"
ICAPS 2024,"Banf, Alberta, Canada",,1-5 June 2024,https://icaps24.icaps-conference.org/,International Conference on Automated Planning and Scheduling
HALG 2024,"Warsaw, Poland",,3-5 June 2024,https://halg2024.ideas-ncbr.pl/,Highlights of Algorithms
NFM 2024,"Moffett Field, California, USA",,4-6 June 2024,https://conf.researchr.org/home/nfm-2024,NASA Formal Methods
FUN 2024,"La Maddalena Island, Sardinia, Italy",,4-8 June 2024,https://sites.google.com/unipi.it/fun2024/,Fun With Algorithms
SAND 2024,"Patras, Greece",,5-7 June 2024,https://www.ceid.upatras.gr/webpages/sand2024/,Algorithmic Foundations of Dynamic Networks
SoCS 2024,"Kananaskis, Alberta, Canada",,6-8 June 2024,https://socs24.search-conference.org/,Symposium on Combinatorial Search
PODS 2024,"Santiago, Chile",,9-15 June 2024,https://2024.sigmod.org/,Principles of Database Systems
SIGMOD 2024,"Santiago, Chile",,9-15 June 2024,https://2024.sigmod.org/,International Conference on Management of Data
SCAI 2024,"Jönköping, Sweden",,10-11 June 2024,https://ju.se/samarbeta/event-och-konferenser/konferens/scai-symposium-2024/,Scandinavian Conference on AI
WoLLIC 2024,"Bern, Switzerland",,10-13 June 2024,https://wollic2024.inf.unibe.ch/,"Workshop on Logic, Language, Information and Computation"
SoCG 2024,"Athens, Greece",,11-14 June 2024,http://socg24.athenarc.gr/,Symposium on Computational Geometry
SWAT 2024,"Helsinki, Finland",,12-14 June 2024,https://swat2024.github.io/website/,Scandinavian Symposium and Workshops on Algorithm Theory
SLSS 2024,"Reykjavík, Iceland",,14-16 June 2024,https://scool24.github.io/SLSS/,Scandinavian Logic Symposium
SPAA 2024,"Nantes, France",,17-21 June 2024,https://spaa.acm.org/,Symposium on Parallelism in Algorithms and Architectures
PODC 2024,"Nantes, France",,17-21 June 2024,https://www.podc.org,Principles of Distributed Computing
DisCoTec 2024,"Groningen, The Netherlands",,17-21 June 2024,https://www.discotec.org/2024/,Distributed Computing Techniques
COORDINATION 2024,"Groningen, The Netherlands",,17-21 June 2024,https://www.discotec.org/2024/coordination,Coordination Models and Languages
DAIS 2024,"Groningen, The Netherlands",,17-21 June 2024,https://www.discotec.org/2024/dais,Distributed Applications and Interoperable Systems
FORTE 2024,"Groningen, The Netherlands",,17-21 June 2024,https://www.discotec.org/2024/forte,"Formal Techniques for Distributed Objects, Components, and Systems"
AofA 2024,"Bath, United Kingdom",,17-21 June 2024,https://www.math.aau.at/AofA2024/,"Probabilistic, Combinatorial, and Asymptotic Methods in the Analysis of Algorithms"
DL 2024,"Bergen, Norway",,18-21 June 2024,https://dl2024.w.uib.no/,Description Logics
GandALF 2024,"Reykjavik, Iceland",,10-21 June 2024,https://scool24.github.io/GandALF/,"Games, Automata, Logics, and Formal Verification"
WG 2024,"Gozd Martuljek, Slovenia",,19-21 June 2024,https://conferences.famnit.upr.si/event/31/,Graph-Theoretic Concepts in Computer Science
STOC 2024,"Vancouver, Canada",,24-28 June 2024,http://acm-stoc.org/stoc2024/,Symposium on Theory of Computing
CPM 2024,"Fukuoka, Japan",,25-27 June 2024,https://cpm2024.github.io/,Combinatorial Pattern Matching
DEBS  2024,"Lyon, France",,25-28 June 2024,https://2024.debs.org/,Distributed and Event-Based Systems
LOFT 2024,"Bayreuth, Germany",,26-28 June 2024,https://loftconference15.wordpress.com/,Logic and the Foundations of Game and Decision Theory
CILC 2024,"Rome, Italy",,26-28 June 2024,https://cilc2024.github.io/,Italian Conference on Computational Logic
COLT 2024,"Edmonton, Canada",,30 June – 3 July 2024,https://learningtheory.org/colt2024/,Conference on Learning Theory
QUANTIFY 2024,"Nancy, France",,1 July 2024,https://qbf24.pages.sai.jku.at/quantify/,Workshop on Quantification
IWOCA 2024,"Ischia, Italy",,1-4 July 2024,http://iwoca2024.di.unisa.it/,International Workshop on Combinatorial Algorithms
TACL 2024,"Barcelona, Spain",,1-5 July 2024,https://iiia.csic.es/tacl2024/,"Topology, Algebra, and Categories in Logic"
IJCAR 2024,"Nancy, France",,1-6 July 2024,https://ijcar2024.loria.fr/,International Joint Conference on Automated Reasoning
ThEdu 2024,"Nancy, France",,2 July 2024,https://www.uc.pt/en/congressos/thedu/ThEdu24/,Theorem proving components for Educational software
SC2 2024,"Nancy, France",,2 July 2024,http://www.sc-square.org/CSA/workshop9.html,Satisfiability Checking and Symbolic Computation
UNIF 2024,"Nancy, France",,2 July 2024,https://lat.inf.tu-dresden.de/unif2024/,Workshop on Unification
PAAR 2024,"Nancy, France",,2 July 2024,https://paar2024.github.io/,Practical Aspects of Automated Reasoning
ARQNL 2024,"Nancy, France",,2 July 2024,http://iltp.de/ARQNL-2024/,Automated Reasoning in Quantified Non-Classical Logics
WAIT 2024,"Nancy, France",,2 July 2024,https://wait2024.github.io/,Workshop on Automated (Co)Inductive Theorem Proving
IPCO 2024,"Wrocław, Poland",,3-5 July 2024,https://ipco2024.ii.uni.wroc.pl/,Integer Programming and Combinatorial Optimization
EC 2024,"New Haven, Connecticut, USA",,8-11 July 2024,https://ec24.sigecom.org/,Economics and Computation
LICS 2024,"Tallinn, Estonia",,8-12 July 2024,https://lics.siglog.org/lics24/,Logic in Computer Science
ICALP 2024,"Tallinn, Estonia",,8-12 July 2024,https://compose.ioc.ee/icalp2024/#icalp,"International Colloquium on Automata, Languages and Programming"
CiE 2024,"Amsterdam, The Netherlands",,8-12 July 2024,https://events.illc.uva.nl/CiE/CiE2024/,Computability in Europe
CSF 2024,"Enschede, The Netherlands",,8-12 July 2024,https://csf2024.ieee-security.org/,Computer Security Foundations
WADT 2024,"Enschede, The Netherlands",,8-12 July 2024,https://conf.researchr.org/home/wadt-2024,Workshop on Algebraic Development Techniques
ECMFA  2024,"Enschede, The Netherlands",,8-12 July 2024,https://conf.researchr.org/home/staf-2024/ecmfa-2024,European Conference on Modelling Foundations and Applications
ICGT 2024,"Enschede, The Netherlands",,8-12 July 2024,https://conf.researchr.org/home/icgt-2024,International Conference on Graph Transformation
IWC 2024,"Tallinn, Estonia",,9 July 2024,https://www.trs.css.i.nagoya-u.ac.jp/event/iwc2024/,International Workshop on Confluence
FSCD 2024,"Tallinn, Estonia",,10-13 July 2024,https://cs.ioc.ee/fscd24/,Formal Structures for Computation and Deduction
GECCO 2024,"Melbourne, Australia",,14-18 July 2024,https://gecco-2024.sigevo.org/,Genetic and Evolutionary Computation Conference
ANTS 2024,"Cambridge, Massachusetts, USA",,15-19 July 2024,https://antsmath.org/ANTSXVI/,Algorithmic Number Theory Symposium
FOIS  2024,"Enschede, The Netherlands",,8-9 July 2024 (online)15-19 July 2024 (on site),https://www.utwente.nl/en/eemcs/fois2024/,Formal Ontology in Information Systems
ISSAC 2024,"Raleigh, North Carolina, USA",,16-19 July 2024,https://www.issac-conference.org/2024/,International Symposium on Symbolic and Algebraic Computation
ICDCS  2024,"Jersey City, New Jersey, USA",,16-19 July 2024,https://icdcs2024.icdcs.org/,International Conference on Distributed Computing Systems
CCCG 2024,"St. Catharines, Ontario, Canada",,17-19 July 2024,https://brocku.ca/mathematics-science/canadian-conference-on-computational-geometry-2024/,Canadian Conference on Computational Geometry
ICML 2024,"Vienna, Austria",,21-27 July 2024,https://icml.cc/,International Conference on Machine Learning
AUTOMATA 2024,"Durham, United Kingdom",,22-24 July 2024,https://automata2024.webspace.durham.ac.uk/,Cellular Automata and Discrete Complex Systems
CCC 2024,"Ann Arbor, Michigan, USA",,22-25 July 2024,https://computationalcomplexity.org/,Computational Complexity Conference
CAV  2024,"Montreal, Canada",,22-27 July 2024,http://i-cav.org/2024/,Computer-Aided Verification
SEA 2024,"Vienna, Austria",,23-26 July 2024,https://sea2024.univie.ac.at/,Symposium on Experimental Algorithms
TASE  2024,"Guiyang, China",,29 July - 1 August 2024,https://tase2024.github.io/,Theoretical Aspects of Software Engineering
IJCAI  2024,"Jeju Island, South Korea",,3-9 August 2024,https://ijcai24.org/,International Joint Conference on Artificial Intelligence
CICM 2024,"Montréal, Québec, Canada",,5-9 August 2024,https://cicm-conference.org/2024/,Conference on Intelligent Computer Mathematics
DLT 2024,"Göttingen, Germany",,12-16 August 2024,https://events.gwdg.de/event/576/,Developments in Language Theory
CRYPTO  2024,"Santa Barbara, California, USA",,18-22 August 2024,https://crypto.iacr.org/2024/,CRYPTO
SmartData 2024,"Copenhagen, Denmark",,19-22 August 2024,https://ieee-cybermatics.org/2024/smartdata/,Smart Data
RAMiCS 2024,"Prague, Czech Republic",,19-23 August 2024,https://ramics-conf.github.io/2024/,Relational and Algebraic Methods in Computer Science
AiML 2024,"Prague, Czech Republic",,19-23 August 2024,https://www.cs.cas.cz/aiml2024/,Advances in Modal Logic
SAT 2024,"Pune, India",,21-24 August 2024,http://satisfiability.org/SAT24/,Theory and Applications of Satisfiability Testing
COCOON 2024,"Shanghai, China",,23-25 August 2024,https://anl.sjtu.edu.cn/cocoon2024/,Computing and Combinatorics Conference
KDD 2024,"Barcelona, Spain",,25-29 August 2024,https://kdd2024.kdd.org/,Knowledge Discovery and Data Mining
ICICS  2024,"Mytilene, Lesvos, Greece",,26-28 August 2024,https://icics2024.aegean.gr/,International Conference on Information and Communications Security
Euro-Par 2024,"Madrid, Spain",,26-30 August 2024,https://2024.euro-par.org/,European Conference on Parallel and Distributed Computing
MFCS 2024,"Bratislava, Slovakia",,26-30 August 2024,http://www.mfcs.sk/,Mathematical Foundations of Computer Science
PATAT 2024,"Lyngby, Denmark",,27-30 August 2024,https://patatconference2024.dtu.dk/,Practice and Theory of Automated Timetabling
APPROX 2024,"London, United Kingdom",,28-30 August 2024,https://approxconference.com/,Approximation Algorithms for Combinatorial Optimization Problems
RANDOM 2024,"London, United Kingdom",,28-30 August 2024,https://randomconference.com/,Randomization and Computation
SCSS 2024,"Tokyo, Japan",,28-30 August 2024,https://www.scss-conference.org/,Symbolic Computation in Software Science
ESA 2024,"Egham, United Kingdom",,2-4 September 2024,https://algo-conference.org/2024/esa/,European Symposium on Algorithms
ALGO 2024,"Egham, United Kingdom",,2-6 September 2024,https://algo-conference.org/2024/,Federated Conference on Algorithms
CP 2024,"Girona, Catalonia, Spain",,2-6 September 2024,https://cp2024.a4cp.org/,Principles and Practice of Constraint Programming
ICFP 2024,"Milan, Italy",,2-7 September 2024,https://icfp24.sigplan.org/,International Conference on Functional Programming
CIAA 2024,"Akita, Japan",,3-6 September 2024,http://www.math.akita-u.ac.jp/ciaa2024/,Conference on Implementation and Application of Automata
NCL 2024,"Łódż, Poland",,5-8 September 2024,https://easychair.org/smart-program/NCL'24/,Non-Classical Logics
MATCH-UP 2024,"Oxford, United Kingdom",,9-11 September 2024,https://www.dcs.gla.ac.uk/research/algorithms/MATCHUP2024/,Matching Under Preferences
FMICS 2024,"Milan, Italy",,9-11 September 2024,https://fmics.inria.fr/2024/,Formal Methods for Industrial Critical Systems
LOPSTR 2024,"Milan, Italy",,9-11 September 2024,https://lopstr.github.io/2024/,Logic-Based Program Synthesis and Transformation
FM 2024,"Milan, Italy",,9-13 September 2024,https://www.fm24.polimi.it/,Formal Methods
CONFEST 2024,"Calgary, Canada",,9-13 September 2024,https://confest2024.github.io/,CONCUR & QEST & FORMATS
CONCUR 2024,"Calgary, Canada",,9-13 September 2024,https://confest2024.github.io/,Concurrency Theory
QEST 2024,"Calgary, Canada",,9-13 September 2024,https://www.qest-formats.org/,Quantitative Evaluation of SysTems
FORMATS 2024,"Calgary, Canada",,9-13 September 2024,https://www.qest-formats.org/,Formal Modeling and Analysis of Timed Systems
ITP 2024,"Tbilisi, Georgia",,9-14 September 2024,https://www.viam.science.tsu.ge/itp2024/,Interactive Theorem Proving
SCN 2024,"Amalfi (SA), Italy",,11-13 September 2024,http://scn.unisa.it,Security and Cryptography for Networks
SAFECOMP 2024,"Florence, Italy",,17-20 September 2024,https://www.safecomp2024.unifi.it/,"Computer Safety, Reliability and Security"
KI 2024,"Würzburg, Germany",,25-27 September 2024,https://www.informatik.uni-wuerzburg.de/ki24/,German Conference on Artificial Intelligence
ICLP  2024,"Dallas, Texas, USA",,11-17 October 2024,https://www.iclp24.utdallas.edu/,International Conference on Logic Programming
FMCAD 2024,"Prague, Czech Republic",,14-18 October 2024,https://fmcad.org/FMCAD24/,Formal Methods in Computer-Aided Design
PACT 2024,"Long Beach, California, USA",,13-16 October 2024,https://pact2024.github.io/,Parallel Architectures and Compilation Techniques
CCS  2024,"Salt Lake City, Utah, USA",,14-18 October 2024,https://www.sigsac.org/ccs/CCS2024/,Computer and Communication Security
ECAI 2024,"Santiago de Compostela, Spain",,19-24 October 2024,https://www.ecai2024.eu/,European Conference on Artificial Intelligence
SAS 2024,"Pasadena, California, USA",,20-22 October 2024,https://2024.splashcon.org/home/sas-2024,Static Analysis Symposium
ATVA 2024,"Kyoto, Japan",,21-24 October 2024,https://atva-conference.org/2024/,Automated Technology for Verification and Analysis
FOCS 2024,"Chicago, Illinois, USA",,27-30 October 2024,https://focs.computer.org/2024/,Foundations of Computer Science
DISC 2024,"Madrid, Spain",,28 October - 1 November 2024,https://www.disc-conference.org/wp/disc2024/,Distributed Computing
KR 2024,"Hanoi, Vietnam",,2-8 November 2024,https://kr.org/KR2024/,Principles of Knowledge Representation and Reasoning
SYNASC 2024,"Timişoara, Romania",,16 September 2024,https://synasc.ro/2024/,Symbolic and Numeric Algorithms for Scientific Computing
SPLASH 2024,"Pasadena, California, USA",,20 October 2024,https://2024.splashcon.org/,"Systems, Programming, Languages, and Applications: Software for Humanity"
ALENEX 2025,"New Orleans, Lousiana, USA",,12 January 2025,https://www.siam.org/conferences/cm/conference/alenex25,Algorithm Engineering and Experiments
SOSA 2025,"New Orleans, Lousiana, USA",,13 January 2025,https://www.siam.org/conferences/cm/conference/sosa25,Symposium on Simplicity in Algorithms
SOFSEM 2025,"Bratislava, Slovakia",,20 January 2025,https://www.sofsem.cz/,Current Trends in Theory and Practice of Computer Science
STACS 2025,"Jena, Germany",,4 March 2025,https://stacs2025.de/,Symposium on Theoretical Aspects of Computer Science
ICALP 2025,"Aarhus, Denmark",,7 July 2025,no-webpage-yet.html,"International Colloquium on Automata, Languages and Programming"
